Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10956,The Virgin Suicides,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0747560595""","=""9780747560593""",0,3.82,Bloomsbury Pub Ltd,Paperback,250,2002,1993,,2021/12/20,to-read,to-read (#93),to-read,,,,0,0
9460487,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"Riggs, Ransom",,"=""""","=""""",0,3.92,Quirk,Hardcover,352,2011,2011,,2021/12/20,to-read,to-read (#92),to-read,,,,0,0
50395705,"Dune: The Graphic Novel, Book 1",Brian Herbert,"Herbert, Brian","Kevin J. Anderson, Frank Herbert, Raul Allen, Patricia Martín, Bill Sienkiewicz","=""1419731505""","=""9781419731501""",0,3.96,Harry N. Abrams,Hardcover,176,2020,2020,,2021/12/20,to-read,to-read (#91),to-read,,,,0,0
6465707,The Walking Dead: Compendium One,Robert Kirkman,"Kirkman, Robert",,"=""1607060760""","=""9781607060765""",0,4.44,Image Comics,Paperback,1088,2009,2009,,2021/12/20,to-read,to-read (#90),to-read,,,,0,0
138398,"The Walking Dead, Vol. 1: Days Gone Bye",Robert Kirkman,"Kirkman, Robert",Tony Moore,"=""1582406723""","=""9781582406725""",0,4.27,Image Comics,Paperback,144,2013,2004,,2021/12/20,to-read,to-read (#89),to-read,,,,0,0
31579916,Fierce Conversations: Achieving Success at Work and in Life One Conversation at a Time,Susan Scott,"Scott, Susan",,"=""""","=""""",0,4.01,New American Library,Paperback,336,2017,2002,,2021/12/20,to-read,to-read (#88),to-read,,,,0,0
1103544,Parasyte 1,Hitoshi Iwaaki,"Iwaaki, Hitoshi",Andrew   Cunningham,"=""0345496248""","=""9780345496249""",0,4.29,Del Rey,Paperback,288,2007,1990,,2021/12/20,to-read,to-read (#87),to-read,,,,0,0
29015,Cruddy,Lynda Barry,"Barry, Lynda",,"=""068483846X""","=""9780684838465""",0,4.15,Simon  Schuster,Paperback,305,2000,1999,,2021/12/19,to-read,to-read (#86),to-read,,,,0,0
22914,The Annotated Brothers Grimm,Jacob Grimm,"Grimm, Jacob","Wilhelm Grimm, Maria Tatar, A.S. Byatt, George Cruikshank, Paul Hey, Walter Crane, Warwick Goble, Kay Nielsen, Arthur Rackham","=""0393058484""","=""9780393058482""",0,4.45,W. W. Norton & Company,Hardcover,462,2004,2004,,2021/12/19,to-read,to-read (#85),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.26,Ace,Hardcover,658,2019,1965,,2021/12/19,to-read,to-read (#84),to-read,,,,0,0
22284,Diary,Chuck Palahniuk,"Palahniuk, Chuck",,"=""1400032814""","=""9781400032815""",0,3.64,Anchor,Paperback,262,2004,2003,,2021/12/19,to-read,to-read (#83),to-read,,,,0,0
56852407,Billy Summers,Stephen King,"King, Stephen",,"=""1982173610""","=""9781982173616""",0,4.22,Scribner,Hardcover,515,2021,2021,,2021/10/26,to-read,to-read (#82),to-read,,,,0,0
44157727,Great Goddesses: Life Lessons from Myths and Monsters,Nikita Gill,"Gill, Nikita",,"=""1529104645""","=""9781529104646""",4,4.18,Ebury Press,Hardcover,248,2019,2019,2021/12/17,2021/11/10,,,read,,,,1,0
